Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FBgn0036214,2212.126526,3.234928642,0.135990355,23.78792711,4.45E-125,3.42E-124
FBgn0014931,754.1484655,-0.361544515,0.144145705,-2.50818791,0.012135211,0.014847209
FBgn0014930,2762.021503,0.815890088,0.054017446,15.10419592,1.52E-51,4.56E-51
FBgn0032868,5179.46904,12.32070977,0.462233206,26.65474835,1.58E-156,1.70E-155
FBgn0264483,1.748778818,-3.171180371,1.514888811,-2.093341998,0.036318636,0.043296133
FBgn0027562,3031.633109,5.829500003,0.164894037,35.35300677,9.01E-274,2.46E-272
FBgn0027563,1539.512383,4.639127153,0.121300443,38.24493171,0,0
FBgn0027560,117166.7024,3.234979658,0.099284458,32.5829413,7.15E-233,1.47E-231
FBgn0027561,13276.18484,-0.326859542,0.041395049,-7.896102272,2.88E-15,4.95E-15
FBgn0027567,25608.57047,-0.406380398,0.036299711,-11.1951413,4.31E-29,9.41E-29
FBgn0027564,3203.450624,0.127441957,0.049560492,2.571442554,0.010127582,0.012460659
FBgn0027565,4299.712098,-0.14105851,0.060006692,-2.350712999,0.01873748,0.022705723
FBgn0027568,10451.40218,-0.132104418,0.0360207,-3.667458369,0.000244973,0.000321713
FBgn0027569,8599.056002,-0.973485342,0.054449443,-17.87870147,1.73E-71,6.85E-71
FBgn0266044,47.47763682,-0.860792303,0.194226554,-4.431898149,9.34E-06,1.28E-05
FBgn0266045,1.777548349,-0.049483681,1.043486013,-0.047421509,0.962177287,0.970558525
FBgn0266046,497.7070737,-0.460457329,0.109024468,-4.22343108,2.41E-05,3.27E-05
FBgn0266047,4.891821617,-0.745608696,0.530413059,-1.40571331,0.159809273,0.181703944
FBgn0266040,37.56745552,8.014670999,0.550883722,14.54875263,5.95E-48,1.70E-47
FBgn0010438,3787.647751,-1.274997396,0.081138204,-15.71389715,1.21E-55,3.88E-55
FBgn0266042,552.788077,-0.66269455,0.16933183,-3.913585246,9.09E-05,0.000121123
FBgn0266043,6.630377059,2.463509651,0.430775314,5.718780932,1.07E-08,1.60E-08
FBgn0266048,9.560004297,0.469680321,0.442529227,1.061354353,0.288528893,0.319560187
FBgn0266049,7.761463945,-0.830501663,0.622130722,-1.334931124,0.18189889,0.205483816
FBgn0267463,280.2244818,4.689403565,0.190874507,24.56799311,2.78E-133,2.32E-132
FBgn0037356,3479.599568,0.935891538,0.053210142,17.58859305,3.01E-69,1.16E-68
FBgn0262057,5048.002488,-0.235187761,0.065271565,-3.60321926,0.0003143,0.000411182
FBgn0030645,837.1606664,-0.037995155,0.049247745,-0.771510549,0.440404372,0.476925178
FBgn0040354,0.917765878,-0.618824496,1.413598287,-0.437765454,0.661556316,0.697622346
FBgn0085218,232.1697234,4.469352821,0.149552996,29.8847427,3.11E-196,4.69E-195
FBgn0085219,27.75663768,1.725210262,0.315495484,5.468256603,4.54E-08,6.66E-08
FBgn0010435,26966.85782,1.803248284,0.06988119,25.8044873,7.90E-147,7.76E-146
FBgn0259482,2491.168603,-0.090930949,0.047479912,-1.915145693,0.055473926,0.065365032
FBgn0033579,471.2382263,1.257741403,0.098957837,12.70987162,5.21E-37,1.28E-36
FBgn0085210,440.6272764,2.885890748,0.138328075,20.86265381,1.17E-96,6.44E-96
FBgn0085211,356.1786992,4.468297292,0.226048753,19.76696277,5.73E-87,2.77E-86
FBgn0085212,1195.690895,-0.376439596,0.057591706,-6.536350904,6.30E-11,9.91E-11
FBgn0085213,3.39558742,-0.162631566,0.787252888,-0.206581097,0.836337024,0.862326151
FBgn0085214,4.429457629,-0.838672269,0.683632534,-1.226788117,0.219902238,0.246424669
FBgn0040353,15.3465758,1.335626988,0.399836269,3.340434799,0.000836473,0.001077146
FBgn0262899,2071.342187,11.23929019,0.484944469,23.17644781,7.87E-119,5.59E-118
FBgn0033434,8804.16464,0.038930529,0.035353829,1.101168674,0.270823253,0.300712179
FBgn0036117,2530.870583,1.463854837,0.054835816,26.69523191,5.35E-157,5.79E-156
FBgn0266102,157.9435308,-0.565541857,0.082991087,-6.814489109,9.46E-12,1.52E-11
FBgn0036111,30541.59264,-0.404381345,0.040213648,-10.0558234,8.66E-24,1.74E-23
FBgn0036110,2299.051112,7.179398206,0.265888565,27.00153054,1.42E-160,1.58E-159
FBgn0036112,3.224568438,-0.979016479,0.986072204,-0.992844616,0.320785683,0.353339116
FBgn0036816,26621.5731,0.747364964,0.095911825,7.792208809,6.58E-15,1.13E-14
FBgn0033439,1941.402443,-4.939249048,0.170240466,-29.01336652,4.46E-185,6.19E-184
FBgn0033438,5243.568641,-2.407294159,0.073141617,-32.91278293,1.44E-237,3.09E-236
FBgn0032082,560.9146638,-0.664089109,0.206941313,-3.209069747,0.001331652,0.001700896
FBgn0040752,16826.52138,-0.614259046,0.060953514,-10.07750007,6.95E-24,1.40E-23
FBgn0015553,5788.679821,-0.832386595,0.112529696,-7.397039379,1.39E-13,2.32E-13
FBgn0015550,159.1798142,-3.890698001,0.186504594,-20.86113764,1.21E-96,6.64E-96
FBgn0029174,17554.61327,-0.580120769,0.049138073,-11.80593253,3.64E-32,8.31E-32
FBgn0040754,3120.423175,-0.271781525,0.070384063,-3.861407157,0.000112736,0.000149795
FBgn0040755,256.3333511,1.194087231,0.113433677,10.52674356,6.50E-26,1.35E-25
FBgn0039294,128.4373015,-2.064364388,0.163080407,-12.65856782,1.00E-36,2.45E-36
FBgn0015558,3144.693985,-0.077319626,0.103467494,-0.747284228,0.454892011,0.491670274
FBgn0040759,2764.760712,-1.114380019,0.14322741,-7.780494077,7.22E-15,1.23E-14
FBgn0010043,231.8598187,0.506076815,0.300142823,1.686119995,0.091772689,0.106450232
FBgn0267445,1.986506009,0.295118572,0.468148302,0.630395477,0.528435869,0.566017127
FBgn0038247,278.464648,-1.334643558,0.207028841,-6.446655215,1.14E-10,1.79E-10
FBgn0036090,1818.016524,0.024549642,0.068026967,0.360881031,0.718188385,0.751855481
FBgn0038244,10683.59271,0.040064529,0.034882608,1.148553137,0.25074029,0.279548885
FBgn0038243,2714.242586,-0.624513715,0.241314719,-2.587963626,0.009654517,0.011896194
FBgn0038242,1292.176544,-11.02120282,0.552709525,-19.94031644,1.82E-88,8.94E-88
